,category,short_description,date
2411,QUEER VOICES,california governor jerry brown saturday signed historic bill protect lesbian gay bisexual transgender,2012-09-30
2412,MEDIA,journalist calls administrations threat libel laws unamerican,2017-05-02
2413,MEDIA,dayan candappa leave accused pressuring female subordinate 10 months reuters,2018-01-30
2414,MEDIA,,2016-09-04
2415,QUEER VOICES,spirit complete honesty admit dont really know best write drag race week,2018-03-09
2416,QUEER VOICES,guys experience gay dating apps wondered conducted nationwide survey nearly 4000 gay men last month gauge behavior,2015-03-18
2417,QUEER VOICES,next partner started search selfidentity asked work day near end relationship,2012-05-19
2418,MEDIA,hopefully theyre already trained krav maga,2015-12-08
2419,QUEER VOICES,,2015-04-10
2420,MEDIA,native americans pondered strange set circumstances since 1998 2009 ten years string circumstantial deaths laurette pourier native american educator said many native americans believe deaths werent properly investigated,2014-10-19
2421,MEDIA,newspaper stands reporter campaign calls biased,2015-09-25
2422,QUEER VOICES,whole lotta,2017-11-08
2423,QUEER VOICES,shes educate grandparents gráunperaunce,2017-01-04
2424,QUEER VOICES,weekend offer collection either best lgbt stories week something celebrate slideshow,2012-02-19
2425,QUEER VOICES,ball dropped champagne popped partygoers kissed new year time think travel calendar know planet tilt youll roasting turkey dont want think never got wear harness would tragic,2015-01-04
2426,QUEER VOICES,always figured certain hateful statements sons would make especially ones say inadequate one statements feared finally delivered though come part calculated gotcha exchange came worst possible moment,2013-01-26
2427,QUEER VOICES,good ally begins listening actually hearing transgender people say lives people actually listen results remarkable,2014-08-23
2428,QUEER VOICES,one week acamp creates magical place witness support community,2017-06-11
2429,QUEER VOICES,pride short simple wordthat felt sustain life absent make us feel helpless alone,2017-11-09
2430,QUEER VOICES,,2014-11-16
2431,QUEER VOICES,wanted one tell story didnt want someone tell said,2015-09-28
2432,QUEER VOICES,1970 black panther party cofounder huey newton published communiqué middle east beyond important rhetoric,2017-01-02
2433,QUEER VOICES,confirmation lifetime success mariah honored center palm springs first ever legacy award recognize exceptional work behalf lgbt people living coachella valley,2014-10-13
2434,MEDIA,became president united states moment period,2017-03-01
2435,QUEER VOICES,law gives lot us fans concern one tour operator says,2018-04-16
2436,QUEER VOICES,last year time firstgrader asked take fatherdaughter dance school repeatedly every time refusal made cry begged whined daddy ashamed explain last year time afraid around dads didnt look like dad,2015-05-03
2437,QUEER VOICES,turn anger fear grief action,2017-04-29
2438,QUEER VOICES,entry expired,2013-04-28
2439,QUEER VOICES,think live part world arent gay people youre wrong,2016-01-26
2440,QUEER VOICES,,2015-04-15
2441,MEDIA,editor chief announced additions memo staff monday,2016-01-04
2442,MEDIA,,2014-10-05
2443,QUEER VOICES,cold day indeed find huddled used rawhide bar bitterly surveying vanillaspeckled permafrost banks franchises chain stores enough pharmacies starbucks outnumber sex shops watering holes quite time,2014-11-27
2444,MEDIA,independent investigation found wrongdoing company said,2018-02-07
2445,MEDIA,stephanopoulos disclosed donations clinton foundation stephanopoulos incident hurts credibility hurts credibility many mainstream media professionals,2015-05-20
2446,QUEER VOICES,past june heat outrage gay rights congressional republicans revived nasty bit business,2015-09-14
2447,QUEER VOICES,engage legal system fight rights transgender individuals find many transgender prisoners especially transgender prisoners color personal relationships violent abusive,2013-01-26
2448,QUEER VOICES,healthiest relationships comprise individuals need want difference needing wanting one connotes desperation desire differentiates two boundaries,2013-10-12
2449,MEDIA,handwriting expert verified womans yearbook signature belongs senate candidate moore according gloria allred,2017-12-09
2450,QUEER VOICES,find single lesbians single gays trans folk bisexuals ive heard ive heard,2013-01-06
2451,MEDIA,state union host jake tapper last grilled vice president nearly two months ago,2017-02-03
2452,MEDIA,best buy already part serial world sheer chance chose acknowledge connection tongue cheek selfinterest company seen pursuing relevance means translates directly profit,2014-12-16
2453,QUEER VOICES,romney supports amending us constitution ban samesex marriage ryan twice voted support failed federal,2012-08-11
2454,QUEER VOICES,officials want encourage unity followed 2016 tragedy,2017-03-28
2455,QUEER VOICES,new york candidate took moment respond remark gubernatorial campaign event,2018-03-22
2456,QUEER VOICES,plenty love acceptance communities must channel inclusive organizing action ensure protect rights families communities,2013-01-21
2457,QUEER VOICES,,2014-06-02
2458,QUEER VOICES,nancy reagan laid rest week passing away age 94 sunday wife ronald reagan nations,2016-03-10
2459,QUEER VOICES,previously shared email received regarding crank pot didnt really agree understand,2016-12-22
2460,QUEER VOICES,celebrating 15th anniversary years gay guide super bowl super bowl 50 played sunday feb,2016-02-07
2461,MEDIA,uk supermarket chain kicks holiday ad season winner,2016-11-16
2462,QUEER VOICES,,2012-12-01
2463,QUEER VOICES,third episode gogo boy interrupted danny tries take mind job trouble version meditation group exercise however calming pilates class interrupted local gays let know people talking good way,2014-10-21
2464,QUEER VOICES,team also donated 75000 equality north carolina score,2016-05-25
2465,QUEER VOICES,loots originally south africa leclair native canada met los angeles nightclub originally,2014-01-01
2466,MEDIA,uk paper says deeply regrets error,2017-11-24
2467,MEDIA,story transformed government agencies editors said also stability global order,2017-01-17
2468,QUEER VOICES,,2014-10-28
2469,MEDIA,cant give terrorizations toward employees,2016-01-27
2470,QUEER VOICES,mothers day harry 12 handed plain business envelope mm written front unfolded single sheet white paper find typed poem titled joy mother blown away,2015-05-06
2471,QUEER VOICES,week talked 21yearold singer jonathan allen touched hearts singing way semifinals americas got talent audition performance called emotional audition ever shows history,2013-12-07
2472,QUEER VOICES,law still needs approved bundestag lower house parliament,2017-03-22
2473,QUEER VOICES,moved moved backward,2017-06-12
2474,QUEER VOICES,new york ap piece cake customer comes asks cake specific design particular,2015-08-02
2475,QUEER VOICES,gladly take label bitch problematic speaking mind,2016-11-19
2476,QUEER VOICES,jarringly unorthodox moment even donald trump rally colorado last october audience member handed,2017-04-17
2477,QUEER VOICES,120 pm yesterday afternoon los angeles 32yearold trans woman color kourtney yochum also went quartney,2016-03-25
2478,MEDIA,image called first,2017-09-14
2479,QUEER VOICES,six months ago 6yearold joshua asked mom transgender explained best could also said complicated topic sometimes even grownups struggle joshua thought moment issued surprising response,2013-08-17
2480,QUEER VOICES,harm one human sharing humanity another form story,2017-09-22
2481,MEDIA,mueller causing irreparable damage rule law country,2018-05-18
2482,QUEER VOICES,generation forcefed notion loved special something somebody one star bought certainty moment understood reflection star born,2014-11-04
2483,MEDIA,youre currently festival run response like far people moved every screening,2017-07-17
2484,QUEER VOICES,,2014-08-03
2485,QUEER VOICES,paul richmonds naked eye series subversive take gender norms,2018-02-21
2486,QUEER VOICES,accuracy absolutely needed moderate level fear lgbti iraqis living areas controlled islamic state know experience,2015-01-26
2487,QUEER VOICES,dont want lifestyle thrusted face,2016-06-29
2488,MEDIA,say yes fox news host tweets,2018-03-29
2489,QUEER VOICES,,2015-01-18
2490,QUEER VOICES,,2014-10-12
2491,QUEER VOICES,2015 oped nick jensen wrote australian paper resurfacing country passed bill legalize thing,2017-12-07
2492,MEDIA,,2014-07-10
2493,QUEER VOICES,goal authentic voice experience,2016-03-15
2494,QUEER VOICES,star none group appropriated image,2017-08-25
2495,QUEER VOICES,investigation canadian police beginning,2018-02-04
2496,QUEER VOICES,skater reveals totally scared young adult,2016-09-28
2497,QUEER VOICES,america could take cues dorothy blanche sophia rose,2018-02-16
2498,QUEER VOICES,attention ladies preparing attend sandra valls 2015 comedy tour shes taken,2015-06-09
2499,QUEER VOICES,finding established right spousal benefits samesex marriages unanimous texas supreme court friday revived,2017-06-30
2500,QUEER VOICES,display features famous lesserknown works,2016-03-18
2501,MEDIA,,2014-12-07
2502,QUEER VOICES,paul burston creator polari literary salon london sheer charm hard work diligence transformed possibilities literary event space crackling energy ideas excitement raucousness plain ole fun,2014-08-13
2503,QUEER VOICES,monthlong marathon mens fashion shows kicks week scrimmage cover race newspapers,2016-01-07
2504,QUEER VOICES,,2015-04-19
2505,QUEER VOICES,,2014-12-02
2506,QUEER VOICES,metaphor gambling frequently used describe love sex grindr feel slot machine signature dingdingdings vegas replaced buhdadump notification alert cached messages,2013-02-23
2507,QUEER VOICES,unequal use truvada may worsen disparities races hiv rates study found,2016-07-08
2508,MEDIA,hours go start trial neither lawyers seen court file detailing accusations,2015-11-24
2509,QUEER VOICES,going get real job,2016-01-31
2510,MEDIA,,2014-11-11
2511,MEDIA,saying youre racist doesnt make,2017-11-28
2512,QUEER VOICES,could ask cooking show,2015-12-24
2513,MEDIA,media discovered something good presidentelects vitriol,2017-01-12
2514,QUEER VOICES,,2015-06-14
2515,MEDIA,,2015-04-21
2516,QUEER VOICES,petition calling littlejohn fired daily mail since launched pointing earlier article,2013-03-23
